title,primaryNo,mobileNo,address,locality,city
"Punita Trrikha Boutique","9899800818",,"Punita Trrikha Boutique","Saket","Delhi"
"Tarun Tahiliani Boutique","(011) 46060980","(011) 46060982","Tarun Tahiliani Boutique","Vasant Kunj","Delhi"
"Three Clothing Private Limited","(011) 29521582","(011) 29521583","Three Clothing Private Limited","Lado Sarai","Delhi"
"Libas","(011) 26472347","(011) 26213633","Libas","Lajpat Nagar Part 4","Delhi"
"Satya Paul","(011) 22306311",,"Satya Paul","Shahdara","Delhi"
"Satya Paul","(011) 46040721",,"Satya Paul","Vasant Kunj","Delhi"
"Jashn","(0120) 3208002","(0120) 3208811","Jashn","Indira Puram","Ghaziabad"
"Ensemble","(011) 26882207",,"Ensemble","Race Course Road","Delhi"
"Evoluzione","(011) 26645017","(011) 65171010","Evoluzione","Mehrauli","Delhi"
"Red Couture","9910866196",,"Red Couture","DLF City Phase 3","Gurgaon"
"Leela Studio","9891111604","9911660086","Leela Studio","Ashok Vihar Phase 1","Delhi"
"Fashion Bandwagon","9999010159",,"Fashion Bandwagon","Indira Puram","Ghaziabad"
"Tamanna De Boutique","(011) 41530901",,"Tamanna De Boutique","Kamla Nagar","Delhi"
"Atul Sarees And Boutique","(011) 25750201","9873243074","Atul Sarees And Boutique","Karol Bagh","Delhi"
"Aza -The Fashion Destination","(011) 29521926","(011) 29521927","Aza -The Fashion Destination","Lado Sarai","Delhi"
"Chhabra Trading Company Limited","(011) 23941795","(011) 23941796","Chhabra Trading Company Limited","Chandni Chowk","Delhi"
"Jashn","(011) 32470353","(011) 46609077","Jashn","Vasant Kunj","Delhi"
"Carma","(011) 41666066","9811804811","Carma","Chanakya Puri","Delhi"
"Deja Vu","(011) 41635597","(011) 29232062","Deja Vu","Greater Kailash Part 1","Delhi"
"Laungis","(011) 65632548",,"Laungis","South Extension 1","Delhi"
"Options","(011) 23710828",,"Options","Connaught Place","Delhi"
"Pehnava","9810547164",,"Pehnava","Sector 61","Noida"
"My Style","(011) 22545963","9810575037","My Style","Arjun Nagar","Delhi"
"Tanchhui","(011) 65955454","9212035228","Tanchhui","Rohini Sector 7","Delhi"
"Chhabra 555","(011) 47082555",,"Chhabra 555","Kamla Nagar","Delhi"
"Diwan Saheb","(011) 47500846","(011) 25739755","Diwan Saheb","Karol Bagh","Delhi"
"RC Boutique","(011) 22443572",,"RC Boutique","Laxmi Nagar","Delhi"
"Fashion Diva","(011) 32639353","9871088662","Fashion Diva","Kalkaji","Delhi"
"Kapil Monika","(011) 32563686",,"Kapil Monika","Lala Lajpatrai Marg","Delhi"
"Purple Haze9","(0120) 4254217","9810450009","Purple Haze9","Raj Nagar","Ghaziabad"
"Rohit Design","(0120) 4320141","(0120) 4320144","Rohit Design","Sector 3","Noida"
"Zeba Botique","(011) 65788000","(011) 26174755","Zeba Botique","Safdarjung  Enclave","Delhi"
"Asha Boutique","(0120) 3066057",,"Asha Boutique","Sector 18","Noida"
"Fashion Flash","9910939801",,"Fashion Flash","Neb Sarai","Delhi"
"Mona Boutique","(011) 27555154","9015676565","Mona Boutique","Rohini - Sector 9","Delhi"
"Fancy Boutique","(011) 27563449","9213443675","Fancy Boutique","Rohini - Sector 14","Delhi"
"Shree Boutique","(011) 27052620",,"Shree Boutique","Rohini","Delhi"
"Soch Creations","9212716165",,"Soch Creations","Gandhi Nagar","Delhi"
"Sonu Boutiques","(011) 26672537",,"Sonu Boutiques","Malviya Nagar","Delhi"
"Utsav Boutique","(011) 27865664","9312834414","Utsav Boutique","Rohini - Sector 13","Delhi"
"Amrit Creations","9891410905",,"Amrit Creations","Lajpat Nagar Part 4","Delhi"
"Floras Boutique","(011) 27568594","9899842498","Floras Boutique","Rohini - Sector 9","Delhi"
"Frills Boutique","(0129) 4076455","9810302711","Frills Boutique","Sector16","Faridabad"
"Mrs Poonam Garg","(0120) 4370395","(0120) 4119586","Mrs Poonam Garg","Chandrapuri","Ghaziabad"
"Petals Boutique","9311262757",,"Petals Boutique","Rohini Sector 9","Delhi"
"Rani Collection","(011) 32302857","9910633655","Rani Collection","South Patel Nagar","Delhi"
"Adlakha Boutique","9810684056",,"Adlakha Boutique","Gandhi Nagar","Delhi"
"Bizarre Corporate","(011) 24628353","(011) 24628352","Bizarre Corporate","South Extension 1","Delhi"
"Delhi Enterprises","(011) 25361609","9868365995","Delhi Enterprises","Raj Nagar","Delhi"
"Karishma Boutique","(011) 32945766","9311370017","Karishma Boutique","Nirman Vihar","Delhi"
"Angel's Collection","9811200548",,"Angel's Collection","Sector 15-II","Gurgaon"
"Maharani Boutiques","(011) 24101856",,"Maharani Boutiques","Sarojani Nagar Market","Delhi"
"Sanskriti Boutique","(011) 27934615","9811890932","Sanskriti Boutique","Rohini Sector 24","Delhi"
"Mrignayani Boutique","(011) 26880360",,"Mrignayani Boutique","Moti Bagh","Delhi"
"Stitch Line Boutique","(011) 46578445","(011) 32626012","Stitch Line Boutique","Lajpat Nagar Part 4","Delhi"
"Mademoiselle Boutique","(011) 24622982","(011) 26852187","Mademoiselle Boutique","Defence Colony","Delhi"
"Shezone The  Boutique","(011) 42481667",,"Shezone The  Boutique","East Patel Nagar","Delhi"
"Colour & Style Boutique","9711238949",,"Colour & Style Boutique","Sector 56","Gurgaon"
"New Exceptions Boutique","9213992764",,"New Exceptions Boutique","Sector 14","Gurgaon"
"Pal Jee Ladies Boutiques","9211222377",,"Pal Jee Ladies Boutiques","Jacombpura","Gurgaon"
"Adonia The Beautiful Lady","(011) 26673501",,"Adonia The Beautiful Lady","Malviya Nagar","Delhi"
"Sondarya  Boutique And Cosmetic","9818430884","9313273274","Sondarya  Boutique And Cosmetic","Sector 15-I","Gurgaon"
"The Lady Look Designer Boutique","9211559422",,"The Lady Look Designer Boutique","Kalkaji","Delhi"
"Ditis Couture-The Fashion Boutique","9810609925",,"Ditis Couture-The Fashion Boutique","Nehru Nagar","Delhi"
"Aakarshan Boutique And Ethnic Collection","(011) 65190564",,"Aakarshan Boutique And Ethnic Collection","Rohini","Delhi"
"Mrignayani Boutique","7838033350",,"Mrignayani Boutique","Vaishali Sector 4","Ghaziabad"
"Oma","(011) 42658485",,"Oma","Saket","Delhi"
"Ruh","(011) 46098202",,"Ruh","Vasant Kunj","Delhi"
"Rose","(011) 46060953","(011) 24526167","Rose","Vasant Kunj","Delhi"
"Ahamm","(011) 43507575",,"Ahamm","Khan Market","Delhi"
"Azara","(011) 40519035",,"Azara","Saiyad Ul Ajaib","Delhi"
"Bucks","(011) 46010444",,"Bucks","Nehru Place","Delhi"
"Clove","(011) 24101825","9899941899","Clove","Chankyapuri","Delhi"
"Eve's","(011) 26954549","9871996452","Eve's","Sarita Vihar","Delhi"
"Fendi","(011) 46040777",,"Fendi","Vasant Kunj","Delhi"
"Hints","(011) 66606938","9810016506","Hints","Lajpat Nagar 2","Delhi"
"Ivory","9871916663","9899293025","Ivory","Pitampura","Delhi"
"Ladro","(011) 41864400-01","(011) 41864411","Ladro","Saket","Delhi"
"Ogaan","(0120) 4043333","9810400434","Ogaan","Sector 6","Noida"
"Rewaz","(011) 41730028","9313054348","Rewaz","Defence Colony","Delhi"
"29 HKV","(011) 41030058",,"29 HKV","Hauz Khas Village","Delhi"
"Bebaas","(011) 45546858","9958144442","Bebaas","Rajouri Garden","Delhi"
"Bina's","(011) 26385797","(011) 26389138","Bina's","Okhla Industrial Area phase 2","Delhi"
"Brioni","(011) 24357777",,"Brioni","Dr. Zakir Hussain Marg","Delhi"
"Curves","(011) 65715830","9811451959","Curves","Greater Kailash Part 1","Delhi"
"Dulari","(011) 27317161","9810206351","Dulari","Pitampura","Delhi"
"Fashka","(011) 22519421",,"Fashka","Kamla Nagar","Delhi"
"Ish Om","(011) 26563647","9811562965","Ish Om","Hauz Khas","Delhi"
"Kanika","(011) 23416515",,"Kanika","Connaught Place","Delhi"
"Morphe","(011) 26383255",,"Morphe","Race Course Road","Delhi"
